url_length,num_dots,num_slashes,num_digits,num_special_chars,has_ip,entropy,keyword_login,keyword_verify,keyword_secure,ssl_expiry_days,ssl_expired,ssl_self_signed,ssl_cn_mismatch,domain_age_days,form_count,login_form_present,hidden_input_count,script_count,external_form_action,label
37,3,3,0,7,0,3.787042812031905,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
77,1,5,17,7,0,4.419864470453803,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
126,4,5,19,19,0,4.753412094896156,0,0,1,-1,0,0,0,-1,0,0,0,0,0,1
18,2,2,0,5,0,3.4613201402110083,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
55,2,5,0,10,0,4.0976622783587,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
32,3,3,0,8,0,3.6665301730294653,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
19,2,2,0,5,0,3.2608281712244565,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
81,2,5,21,8,0,4.771112319170577,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
42,2,3,0,6,0,4.1955397440528,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
104,1,6,8,18,0,4.481455590414627,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
56,3,4,0,9,0,4.344566583470218,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
43,2,3,8,9,0,4.286275219617124,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
83,1,4,1,15,0,4.281211648465453,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
31,2,3,2,6,0,3.8488846166291197,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
25,2,3,0,6,0,3.7532696895151076,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
51,3,4,1,10,0,4.444401999165796,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
31,2,3,0,6,0,3.7843684875968617,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
50,2,5,3,8,0,4.174177320667443,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
34,2,4,0,7,0,4.079678649882975,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
27,2,3,4,6,0,4.032303242743954,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
