url_length,num_dots,num_slashes,num_digits,num_special_chars,has_ip,entropy,keyword_login,keyword_verify,keyword_secure,ssl_expiry_days,ssl_expired,ssl_self_signed,ssl_cn_mismatch,domain_age_days,form_count,login_form_present,hidden_input_count,script_count,external_form_action,label
37,3,3,0,7,0,3.7870428120319044,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
77,1,5,17,7,0,4.419864470453804,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
126,4,5,19,19,0,4.753412094896157,0,0,1,-1,0,0,0,-1,0,0,0,0,0,1
18,2,2,0,5,0,3.4613201402110088,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
55,2,5,0,10,0,4.0976622783587,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
32,3,3,0,8,0,3.6665301730294653,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
19,2,2,0,5,0,3.260828171224456,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
81,2,5,21,8,0,4.771112319170576,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
42,2,3,0,6,0,4.195539744052798,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
104,1,6,8,18,0,4.481455590414627,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
56,3,4,0,9,0,4.344566583470218,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
43,2,3,8,9,0,4.286275219617123,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
83,1,4,1,15,0,4.281211648465454,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
31,2,3,2,6,0,3.8488846166291193,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
25,2,3,0,6,0,3.753269689515108,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
51,3,4,1,10,0,4.444401999165797,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
31,2,3,0,6,0,3.7843684875968617,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
50,2,5,3,8,0,4.174177320667444,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
34,2,4,0,7,0,4.079678649882975,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
27,2,3,4,6,0,4.032303242743953,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
63,3,7,0,13,0,4.075590044566196,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
66,2,4,0,11,0,4.2980550138102505,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
40,2,5,4,8,0,4.393942707918268,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
48,1,4,0,9,0,4.155187698990101,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
126,4,4,12,18,0,4.710764845058315,0,0,1,-1,0,0,0,-1,0,0,0,0,0,1
41,2,3,0,6,0,4.064392248309453,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
36,2,3,0,6,0,4.141604167868594,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
72,2,5,0,15,0,4.187132212342206,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
68,4,4,11,9,0,4.552115370751691,0,0,1,-1,0,0,0,-1,0,0,0,0,0,1
163,4,3,65,23,0,4.8033637781689045,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1
